,target,age,gender_F,donations_2017,donations_2017_min_2016
0,1,42,0,10,7
1,1,73,0,4,1
2,1,37,0,6,3
3,1,75,0,2,-4
4,1,32,1,9,5
5,1,84,0,4,-5
6,1,51,0,10,10
7,1,78,0,9,6
8,1,84,0,10,7
9,1,67,1,4,-1
10,1,45,1,4,2
11,1,57,0,9,4
12,1,55,0,3,1
13,1,44,1,3,2
14,1,43,0,3,0
15,1,83,0,6,0
16,1,55,0,4,4
17,1,60,1,5,3
18,1,99,1,1,1
19,1,73,1,8,1
20,1,22,1,8,7
21,1,21,0,1,-6
22,1,55,0,4,-3
23,1,23,0,6,1
24,1,68,1,7,4
25,1,25,0,10,8
26,1,47,0,3,-2
27,1,74,1,5,2
28,1,50,0,9,9
29,1,37,1,4,-2
30,1,44,0,2,-1
31,1,49,1,2,-6
32,1,67,1,5,5
33,1,55,0,3,0
34,1,66,1,2,-4
35,1,59,0,10,8
36,1,76,0,10,2
37,1,63,0,5,2
38,1,25,1,6,0
39,1,37,0,2,2
40,1,53,0,5,1
41,1,19,0,8,-1
42,1,50,1,1,-6
43,1,47,0,9,0
44,1,65,0,9,0
45,1,63,0,10,6
46,1,60,1,1,-7
47,1,38,1,4,2
48,1,83,1,3,-2
49,1,38,0,4,-1
50,1,58,1,5,-4
51,1,60,1,4,-4
52,1,60,1,3,-1
53,1,46,1,3,2
54,1,27,1,4,4
55,1,61,0,10,2
56,1,46,1,2,1
57,1,37,0,7,4
58,1,72,1,6,4
59,1,76,0,6,-1
60,1,41,1,2,0
61,1,29,0,10,4
62,1,82,0,1,-1
63,1,43,0,8,-1
64,1,84,0,1,-1
65,1,21,1,3,-2
66,1,69,1,1,-8
67,1,28,0,1,-8
68,1,42,0,6,3
69,1,48,1,2,2
70,1,69,1,6,1
71,1,63,1,6,0
72,1,50,0,5,-2
73,1,50,1,7,6
74,1,47,0,3,-4
75,1,47,1,3,1
76,1,48,0,9,3
77,1,76,0,5,0
78,1,28,1,10,6
79,1,71,1,1,-8
80,1,37,1,10,3
81,1,60,0,10,4
82,1,34,1,9,3
83,1,78,0,7,-1
84,1,78,0,8,7
85,1,76,0,1,-5
86,1,43,0,9,0
87,1,60,1,8,-1
88,1,48,1,10,4
89,1,23,1,10,6
90,1,79,0,6,-3
91,1,60,0,4,0
92,1,75,0,6,2
93,1,67,1,4,-3
94,1,65,1,5,3
95,1,56,1,5,-2
96,1,84,1,3,-2
97,1,61,0,8,1
98,1,62,0,10,9
99,1,47,1,6,6
100,1,41,1,5,-1
101,1,59,1,10,4
102,1,44,1,5,4
103,1,40,0,9,8
104,1,47,1,7,-1
105,1,55,0,7,7
106,1,61,1,8,8
107,1,72,0,4,0
108,1,59,0,6,2
109,1,85,1,2,-2
110,1,76,1,1,0
111,1,33,1,5,3
112,1,75,0,3,2
113,1,28,1,6,4
114,1,54,1,10,4
115,1,35,0,8,-1
116,1,81,0,7,6
117,1,60,1,8,7
118,1,49,0,10,10
119,1,52,1,2,0
120,1,76,1,1,1
121,1,56,1,6,-2
122,1,61,0,5,5
123,1,45,0,9,3
124,1,61,1,10,5
125,1,59,0,3,-5
126,1,35,1,9,2
127,1,22,1,8,2
128,1,72,1,1,-6
129,1,59,1,10,10
130,1,34,1,10,8
131,1,44,1,4,-3
132,1,41,0,7,4
133,1,72,1,8,7
134,1,55,1,2,-6
135,1,73,1,3,2
136,1,69,0,9,0
137,1,49,1,9,7
138,1,34,0,5,1
139,1,31,1,8,3
140,1,25,1,4,1
141,1,38,1,4,1
142,1,23,1,2,-7
143,1,36,1,6,3
144,1,66,0,9,1
145,1,72,1,5,-4
146,1,38,1,6,6
147,1,54,1,2,0
148,1,58,1,5,-2
149,1,60,0,2,-4
150,1,65,0,8,3
151,1,49,1,5,5
152,1,69,1,2,-3
153,1,73,1,1,-8
154,1,48,0,9,3
155,1,71,1,4,-5
156,1,68,1,5,-2
157,1,71,1,2,2
158,1,24,0,10,10
159,1,83,0,5,-2
160,1,55,1,3,-3
161,1,54,1,6,-3
162,1,43,0,4,2
163,1,32,0,9,9
164,1,64,0,9,3
165,1,71,1,9,6
166,1,77,1,3,-5
167,1,58,1,4,3
168,1,22,0,10,5
169,1,55,0,4,3
170,1,45,1,5,0
171,1,46,0,4,1
172,1,75,0,2,1
173,1,61,1,9,9
174,1,30,1,7,2
175,1,81,1,6,1
176,1,56,1,1,-3
177,1,53,0,5,-4
178,1,60,0,3,-3
179,1,44,1,7,3
180,1,42,0,3,-3
181,1,39,0,6,1
182,1,74,0,7,4
183,1,83,1,5,-4
184,1,42,1,3,3
185,1,37,0,2,-2
186,1,53,0,2,-5
187,1,59,1,6,5
188,1,58,0,2,0
189,1,30,1,7,3
190,1,60,0,2,1
191,1,93,1,7,0
192,1,91,0,10,2
193,1,50,1,2,-4
194,1,39,0,1,1
195,1,53,0,7,0
196,1,74,0,9,9
197,1,63,0,9,1
198,1,78,0,1,-7
199,1,54,0,7,5
